DATAFLOW,LOCATION,SUBJECT,SEX,FREQUENCY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,BASE_PER
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1971,69.17905,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1974,88.49767,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1974,50.63104,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1974,69.12543,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1975,87.28288,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1975,50.83901,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1975,68.63606,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2013,84.18674,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2013,73.54306,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2013,78.8923,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1976,86.32465,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1976,51.02787,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1976,68.27975,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1977,85.58369,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1977,51.20182,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1977,68.05094,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1981,83.68684,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1981,53.1262,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1981,68.325,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1982,83.28068,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1982,52.93392,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1982,68.03898,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1978,85.17443,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1978,51.63959,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1978,68.12367,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1979,84.89664,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1979,52.18584,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1979,68.32973,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1980,84.33812,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1980,52.80653,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1980,68.45303,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2012,83.95048,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2012,72.73489,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2012,78.36705,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2010,83.04106,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2010,71.5206,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2010,77.33294,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2011,83.80466,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2011,72.69501,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2011,78.27211,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1985,81.24473,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1985,51.87907,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1985,66.55743,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1984,81.50517,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1984,51.33124,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1984,66.37893,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1988,80.96688,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1988,54.82825,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1988,68.01834,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1987,81.4875,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1987,53.93221,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1987,67.79993,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1989,81.15035,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1989,55.50564,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1989,68.48213,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1991,81.87744,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1991,61.0318,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1991,71.55487,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1992,81.37833,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1992,61.27541,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1992,71.46347,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1993,80.92129,A,PC,0,
